"","year","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","candidateproportions","popsizes"
"89",2016,"TAOS","35055","PRESIDENT","DONALD TRUMP","REPUBLICAN",2727,15260,0.17870249017038,32925
"90",2016,"TAOS","35055","PRESIDENT","OTHER","OTHER",1865,15260,0.12221494102228,32925
"91",2016,"TORRANCE","35057","PRESIDENT","HILLARY CLINTON","DEMOCRAT",1785,6324,0.282258064516129,15466
"92",2016,"TORRANCE","35057","PRESIDENT","DONALD TRUMP","REPUBLICAN",3714,6324,0.587286527514231,15466
"93",2016,"TORRANCE","35057","PRESIDENT","OTHER","OTHER",825,6324,0.130455407969639,15466
"94",2016,"UNION","35059","PRESIDENT","HILLARY CLINTON","DEMOCRAT",320,1702,0.188014101057579,4166
"95",2016,"UNION","35059","PRESIDENT","DONALD TRUMP","REPUBLICAN",1216,1702,0.714453584018801,4166
"96",2016,"UNION","35059","PRESIDENT","OTHER","OTHER",166,1702,0.0975323149236193,4166
"97",2016,"VALENCIA","35061","PRESIDENT","HILLARY CLINTON","DEMOCRAT",10841,27592,0.392903740214555,75639
"98",2016,"VALENCIA","35061","PRESIDENT","DONALD TRUMP","REPUBLICAN",13215,27592,0.478943171933894,75639
"99",2016,"VALENCIA","35061","PRESIDENT","OTHER","OTHER",3536,27592,0.128153087851551,75639
"100",2020,"BERNALILLO","35001","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",193757,317590,0.610085330142637,681666
"101",2020,"BERNALILLO","35001","PRESIDENT","DONALD J TRUMP","REPUBLICAN",116135,317590,0.36567587140653,681666
"102",2020,"CATRON","35003","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",595,2326,0.255803955288048,3623
"103",2020,"CATRON","35003","PRESIDENT","DONALD J TRUMP","REPUBLICAN",1698,2326,0.730008598452279,3623
"104",2020,"CHAVES","35005","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",6381,22443,0.284320278037695,64711
"105",2020,"CHAVES","35005","PRESIDENT","DONALD J TRUMP","REPUBLICAN",15656,22443,0.697589448825915,64711
"106",2020,"CIBOLA","35006","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",4745,8903,0.532966415814894,26354
"107",2020,"CIBOLA","35006","PRESIDENT","DONALD J TRUMP","REPUBLICAN",3975,8903,0.446478715039874,26354
"108",2020,"COLFAX","35007","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",2611,6016,0.434009308510638,11927
"109",2020,"COLFAX","35007","PRESIDENT","DONALD J TRUMP","REPUBLICAN",3271,6016,0.543716755319149,11927
"110",2020,"CURRY","35009","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",4307,15101,0.28521289980796,48793
"111",2020,"CURRY","35009","PRESIDENT","DONALD J TRUMP","REPUBLICAN",10444,15101,0.691609827163764,48793
"112",2020,"DE BACA","35011","PRESIDENT","JOSEPH R BIDEN JR","DEMOCRAT",231,901,0.25638179800222,1673
"113",2020,"DE BACA","35011","PRESIDENT","DONALD J TRUMP","REPUBLICAN",656,901,0.728079911209767,1673
